City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,vredendal,-31.6683,18.5012,289.73,89,74,5.2,ZA,1669944529
126,bethel,41.3712,-73.414,275.79,62,0,1.54,US,1669944530
127,bonfim,3.0833,-59.95,299.2,70,100,3.25,BR,1669944530
128,mataura,-46.1927,168.8643,283.42,57,91,4.13,NZ,1669944530
129,esperance,-33.8667,121.9,292.03,76,83,6.16,AU,1669944531
130,prince rupert,54.3161,-130.3201,269.98,54,75,3.09,CA,1669944531
131,saint-philippe,-21.3585,55.7679,295.92,80,7,1.5,RE,1669944532
132,avarua,-21.2078,-159.775,300.18,83,75,4.12,CK,1669944532
133,new norfolk,-42.7826,147.0587,294.66,46,17,1.34,AU,1669944532
134,obo,5.3998,26.4869,292.98,90,88,1.53,CF,1669944533
135,samarai,-10.6167,150.6667,303.07,68,100,3.11,PG,1669944533
136,bulgan,48.8125,103.5347,252.51,99,100,0.66,MN,1669944533
137,basco,20.4487,121.9702,299.26,80,68,7.83,PH,1669944534
138,atuona,-9.8,-139.0333,298.82,70,0,8.33,PF,1669944534
139,virginia beach,36.8529,-75.978,278.19,67,20,0.0,US,1669944535
140,tiznit,29.5833,-9.5,286.38,88,85,1.25,MA,1669944535
141,yaan,7.3833,8.5667,296.85,29,100,1.4,NG,1669944536
142,klaksvik,62.2266,-6.589,283.66,95,100,14.23,FO,1669944536
143,berdigestyakh,62.0989,126.6992,244.45,99,100,1.52,RU,1669944536
144,lakselv,70.0513,24.9718,271.05,100,100,2.57,NO,1669944537
145,galatades,40.7544,22.2717,283.88,87,100,0.51,GR,1669944537
146,torbay,47.6666,-52.7314,282.25,93,100,14.92,CA,1669944537
147,saint-georges,12.0564,-61.7485,298.97,83,20,6.17,GD,1669944538
148,fortuna,40.5982,-124.1573,278.67,93,75,0.89,US,1669944538
149,dudinka,69.4058,86.1778,255.29,98,100,3.46,RU,1669944538
150,taltal,-25.4,-70.4833,290.79,81,27,2.21,CL,1669944539
151,billings,45.7833,-108.5007,270.74,74,75,6.69,US,1669944353
152,baguanos,20.7517,-76.0269,296.31,86,43,3.74,CU,1669944539
153,kortkeros,61.8106,51.5806,266.15,97,99,1.57,RU,1669944540
154,labuhan,-6.8844,112.2051,299.93,74,90,5.86,ID,1669944540
155,skibbereen,51.55,-9.2667,282.93,82,100,5.86,IE,1669944540
156,rockport,28.0206,-97.0544,290.17,93,100,7.72,US,1669944541
157,cabo san lucas,22.8909,-109.9124,298.76,79,0,2.57,MX,1669944430
158,sakakah,29.9697,40.2064,286.91,62,0,2.66,SA,1669944541
159,chumikan,54.7183,135.315,249.71,78,9,10.12,RU,1669944541
160,beloha,-25.1667,45.05,294.59,91,65,3.1,MG,1669944542
161,jamestown,42.097,-79.2353,272.92,80,100,3.6,US,1669944326
162,mogadishu,2.0371,45.3438,299.59,73,45,4.84,SO,1669944460
163,lewistown,40.5992,-77.5714,273.29,84,0,0.0,US,1669944543
164,victoria,22.2855,114.1577,288.84,74,100,5.36,HK,1669944435
165,longyearbyen,78.2186,15.6401,278.06,70,75,4.63,SJ,1669944543
166,makat,47.6469,53.3463,268.6,45,0,2.76,KZ,1669944544
167,petropavlovsk-kamchatskiy,53.0452,158.6483,267.48,74,75,2.0,RU,1669944544
168,east stroudsburg,40.9995,-75.1813,273.67,73,10,2.46,US,1669944544
169,san patricio,28.017,-97.5169,291.07,87,100,5.7,US,1669944545
170,isangel,-19.55,169.2667,302.68,74,100,6.59,VU,1669944545
171,omboue,-1.5746,9.2618,297.96,89,100,1.08,GA,1669944546
172,balfour,-26.6633,28.5902,287.92,57,5,2.61,ZA,1669944546
173,evinayong,1.4368,10.5512,292.46,98,100,0.38,GQ,1669944546
